Art,849,211,15454
The_arts,596,55,6882
Visual_arts,626,109,5269
Art_(disambiguation),21,14,491
Visual_artwork,626,109,5273
Self-portrait,498,52,8265
Vincent_van_Gogh,1302,210,19434
Chokwe_people,195,22,4599
The_Birth_of_Venus,219,54,5727
Sandro_Botticelli,585,99,11881
Okinawan_people,670,36,11135
Shisa,35,14,1023
Culture,955,203,9151
Works_of_art,355,55,1969
Creativity,941,72,19552
Imagination,605,73,6455
Beauty,534,137,10128
Western_world,1108,82,16979
Visual_art,620,109,5273
Painting,1066,167,11504
Sculpture,1838,136,20869
Architecture,996,188,7864
Theatre,899,169,11092
Dance,681,186,8788
Performing_arts,367,76,5358
Literature,716,210,10305
Music,1345,232,17490
Film,1090,179,11722
Interactive_media,112,18,2802
Craft,132,50,2220
Sciences,1148,244,16042
Fine_art,621,63,6081
Decorative_arts,219,38,2077
Applied_arts,372,53,1225
Aesthetic_interpretation,220,1,1506
Philosophy,990,238,17174
Aesthetics,908,116,8849
Art_criticism,512,27,5975
Art_history,499,61,6716
Pre-historic_art,947,47,11386
Contemporary_art,905,52,4338
Etymology,215,124,3367
Twa,67,5,2238
Plato,2445,216,12800
Aristotle,2882,220,22608
Socrates,1287,200,13330
Kant,3017,177,23718
Muses,1708,85,6198
Phaedrus_(Plato),538,34,7760
Republic_(Plato),1091,85,11062
Homer,1304,193,8814
Ion_(dialogue),269,24,2110
Iliad,989,145,13928
Epic_poetry,608,106,5176
Dithyramb,109,41,2272
Mimesis,869,44,5775
Metropolitan_Museum_of_Art,1639,78,23230
Commercial_art,31,14,935
Applied_art,371,53,1229
Emotion,1170,140,16967
Richard_Wollheim,91,12,2304
Formalism_(art),174,14,1410
Representation_(arts),60,12,5399
Leo_Tolstoy,654,182,11707
Benedetto_Croce,621,62,5094
R._G._Collingwood,420,31,4363
Idealism,1445,86,16364
Roger_Fry,325,27,3732
Clive_Bell,217,19,1691
Martin_Heidegger,1693,112,15613
George_Dickie_(philosopher),28,13,657
Institutional_theory_of_art,542,5,4990
Art_world,169,11,1965
Romanticism,2592,123,21432
History_of_art,2887,63,28472
L%C3%B6wenmensch,401,33,3106
Homo_erectus,957,94,8971
Riesenhirschknochen_der_Einhornh%C3%B6hle,70,2,1293
Cave_paintings,1488,55,10049
Petroglyphs,973,60,6092
Upper_Paleolithic,804,51,5864
Venus_of_Hohle_Fels,103,25,1569
Caves_and_Ice_Age_Art_in_the_Swabian_Jura,698,18,2814
World_Heritage_Site,193,143,5263
Ancient_Egypt,1700,171,18378
Mesopotamia,1035,161,11950
History_of_Iran,1747,76,24590
Inca_civilization,1476,123,15539
Maya_civilization,1399,127,24844
Olmec,1169,69,11623
Byzantine_art,1071,52,8812
Medieval_art,1282,40,12553
Catholic_Europe,395,9,2282
Renaissance_art,1027,43,6335
Graphical_perspective,588,53,5140
Sultan,671,100,4525
Mahmud_II,408,74,6841
Ottoman_Empire,2746,182,31647
Islamic_calligraphy,1056,30,5370
Great_Mosque_of_Kairouan,331,42,8076
Islamic_art,1463,57,13576
Iconography,249,52,4129
Islamic_geometric_patterns,1215,13,7594
Islamic_architecture,1917,63,25928
Terracotta_Army,518,85,9414
Emperor_Qin,594,180,11212
Tang_dynasty,1569,118,22272
Ming_dynasty,1220,127,17985
Woodblock_printing,287,23,8291
Song_dynasty,1553,89,15939
Age_of_Enlightenment,2572,135,27167
Clockwork_universe,33,4,785
William_Blake,1147,99,15268
Jacques-Louis_David,759,84,11624
Goethe,1556,187,14863
Artistic_movements,1659,35,4265
Academic_art,1105,56,13794
Symbolism_(movement),2042,79,9382
Impressionism,1812,100,11338
Fauvism,1402,65,4955
Expressionism,1686,84,8219
Cubism,1916,94,14844
Dadaism,1698,87,11606
Surrealism,1787,102,14519
Globalization,1550,137,20836
African_sculpture,121,4,2233
