URL,#_of_valid_wiki_pages_linked,#_of_supported_languages,word_count
Mathematics,1214,254,16108
Mathematics_(disambiguation),13,4,392
Math_(disambiguation),18,2,502
History_of_mathematics,1488,65,17584
Lists_of_mathematics_topics,435,14,3265
Areas_of_mathematics,1308,1,8203
Number_theory,742,114,11367
Geometry,946,180,10757
Topology,403,105,4837
Algebra,630,169,14302
Calculus,1114,97,10365
Mathematical_analysis,646,114,5416
Discrete_mathematics,492,74,3689
Mathematical_logic,1129,86,9986
Set_theory,842,119,7734
Probability,382,114,6089
Statistics,1000,153,10053
Decision_theory,737,37,4452
Mathematical_physics,687,64,6102
Mathematical_chemistry,280,18,1385
Geomathematics,139,6,1778
Computational_mathematics,277,27,1377
Mathematical_and_theoretical_biology,697,44,5274
Mathematical_linguistics,250,1,2343
Mathematical_economics,1168,37,15090
Philosophy_of_mathematics,1254,56,12854
Mathematics_education,799,21,7504
Mathematical_theory,389,94,4869
Theorem,518,90,5342
Mathematical_proof,567,97,5851
Empirical_sciences,1135,243,16041
Mathematical_object,471,38,3456
Abstraction_(mathematics),45,15,892
Axiom,481,106,5920
Reason,1067,91,13086
Proof_(mathematics),558,97,5855
Inference_rule,484,23,8298
Natural_science,498,135,7178
Engineering,1531,167,11371
Medicine,910,190,10653
Finance,740,97,7412
Computer_science,746,162,8127
Social_sciences,844,133,10541
Game_theory,1349,86,16934
Applied_mathematics,319,80,3317
Pure_mathematics,148,55,2403
Mathematical_rigour,126,5,2141
Greek_mathematics,913,31,4726
Euclid,464,164,5477
Euclid%27s_Elements,430,75,6550
Arithmetic,455,166,16140
Natural_number,577,149,7075
Fractions,252,99,10221
Infinitesimal_calculus,1063,97,10369
Timeline_of_scientific_discoveries,906,6,10927
Foundational_crisis_of_mathematics,749,32,8061
Axiomatic_method,361,21,2626
Mathematics_Subject_Classification,143,15,1678
Renaissance,2485,165,18419
Pseudoscience,1220,84,13851
Numerology,264,55,3568
Astrology,1258,133,15599
Mathematical_notation,204,30,2506
Formula,105,70,1855
Differential_calculus,262,70,5413
Integral_calculus,699,92,10591
Continuous_functions,629,60,12736
Nonlinear_system,391,37,3434
Variable_(mathematics),447,87,4544
Celestial_mechanics,356,64,3331
Solid_mechanics,221,39,1961
Combinatorics,507,79,4569
Foundational_crisis_in_mathematics,742,32,8061
Higher_arithmetic,685,114,11371
Foundations_of_mathematics,739,32,8055
Ulam_spiral,95,29,2932
Prime_numbers,1256,138,15974
Independence_(probability_theory),110,35,6089
Ulam_spiral#Hardy_and_Littlewood's_Conjecture_F,95,29,2932
Number,542,191,9568
Integer,1454,132,6449
Rational_number,250,119,4384
Numerical_calculation,484,90,5122
Babylonian_mathematics,163,28,3421
Ancient_China,1779,96,18700
Diophantus,283,69,4226
Pierre_de_Fermat,197,96,2942
Leonhard_Euler,1107,160,12258
Adrien-Marie_Legendre,113,52,2232
Carl_Friedrich_Gauss,960,159,18870
Fermat%27s_Last_Theorem,422,78,12381
Wiles%27s_proof_of_Fermat%27s_Last_Theorem,222,4,8065
Andrew_Wiles,604,61,4956
Scheme_theory,230,18,8011
Algebraic_geometry,749,62,8434
Category_theory,508,49,5118
Homological_algebra,260,32,4301
Goldbach%27s_conjecture,150,55,4127
Prime_number,1241,138,15970
Christian_Goldbach,60,42,1609
Analytic_number_theory,192,39,4323
Algebraic_number_theory,293,37,6662
Geometry_of_numbers,126,13,1482
Diophantine_equation,329,54,5892
Transcendence_theory,252,12,4596
Line_(geometry),356,112,5011
Angle,367,141,8584
Circle,275,144,7220
Surveying,281,55,8080
Architecture,1001,188,7864
Measurement,323,131,4422
Postulate,466,106,5923
Euclidean_geometry,805,84,9429
Straightedge_and_compass_construction,571,37,5847
Plane_(geometry),353,88,2831
Euclidean_plane,350,88,2827
Plane_geometry,798,84,9433
Euclidean_space,323,64,7934
