Epoch,Epoch_loss,Best_loss
0,72780440.0,72780440.0
10000,5020377.5,4873192.0
20000,4272945.5,3601626.0
30000,3915953.25,3286957.5
40000,3091527.25,2944026.5
50000,3592446.75,2748131.75
60000,3352968.5,2748131.75
70000,2878476.75,2532330.75
80000,3145338.5,2532330.75
90000,3299877.75,2532330.75
100000,2822406.5,2532330.75
110000,3182137.25,2481563.0
120000,3109340.5,2481563.0
130000,2879661.5,2436115.75
140000,3356528.25,2436115.75
150000,2678672.25,2300118.25
160000,2578510.5,2241658.5
170000,2214869.5,2084601.5
180000,1976031.5,1966868.25
190000,2387445.25,1923886.0
200000,2723436.75,1923886.0
210000,2142356.25,1891150.5
220000,2132501.25,1878395.75
230000,1922418.25,1810564.25
240000,1884458.625,1779307.125
250000,2229665.75,1754898.5
260000,1849943.75,1711287.375
270000,2794675.75,1650400.75
280000,1732988.375,1615443.5
290000,1610456.25,1589911.625
300000,5591106.0,1577779.25
310000,1769504.5,1561103.125
320000,1960327.75,1534583.125
